,exp1,,,,exp2,,,,exp3,,,,exp4,,,,exp5,,,,aggregated,,,
prefix,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
rf_avg_veh_number_0.001_0.6_0.6,196.247932146362,165.51661300543833,0.0,1021.0,207.2577456890509,167.899419775115,0.0,1214.0,195.81557549418199,151.03677074941209,0.0,1044.0,195.38027477919528,139.94223834947147,0.0,944.0,190.91104724519838,167.45116444029821,0.0,1248.0,183.85184348243263,108.34561299438722,0.0,995.0
rf_avg_veh_number_0.001_0.7_0.6,195.59666339548576,144.76276523495335,0.0,1137.0,202.15379223328193,165.55332930089506,0.0,946.0,203.94791812701527,156.3253880221802,0.0,1359.0,194.48485910556568,148.90720644905588,0.0,826.0,194.36681620636477,160.31884578367539,0.0,1072.0,183.97517019632576,104.5736030210997,0.0,971.0
rf_avg_veh_number_0.001_0.7999999999999999_0.6,199.21288377961588,163.32616488313707,0.0,1304.0,204.1739099957942,168.63901585240927,0.0,970.0,205.49425206785364,171.6171719259809,0.0,1163.0,195.75003504836675,151.4039813010272,0.0,992.0,191.08699004626385,161.9176068088242,0.0,1406.0,183.89028964472723,107.64980464137018,0.0,969.0
rf_avg_veh_number_0.001_0.8999999999999999_0.6,202.93901584186176,158.90513915155637,0.0,1172.0,189.77449880835553,152.5432769867284,0.0,1004.0,198.53469788307865,157.37145881000131,0.0,1012.0,200.4307444273097,152.88707613613488,0.0,963.0,195.22767419038271,160.59845241230084,0.0,1167.0,182.21984274293663,105.78190611450476,0.0,916.0
rf_avg_veh_number_0.001_0.6_0.7,204.45177344735734,181.87116097733121,0.0,1701.0,200.6693537081172,160.22423722046724,0.0,1178.0,193.450441609421,149.17171418472344,0.0,971.0,201.98485910556568,156.3934384399516,0.0,909.0,191.62351044441328,159.70733900078392,0.0,1412.0,185.29309441002675,108.06097213683545,0.0,957.0
rf_avg_veh_number_0.001_0.7_0.7,207.03385672227674,177.2125361694789,0.0,1310.0,197.94665638581242,176.22501715295132,0.0,1188.0,191.5370811720174,144.1975605888667,0.0,793.0,200.79503715126876,157.5051430265687,0.0,945.0,200.66003084256275,156.3439370398234,0.0,1079.0,187.1801500626806,110.47826275789367,0.0,889.0
rf_avg_veh_number_0.001_0.7999999999999999_0.7,200.53736155895135,149.26241945761373,0.0,966.0,200.73713724940419,178.3044164699247,0.0,1403.0,204.5836954997897,162.66850220637284,0.0,963.0,200.8493621197252,165.7342636465255,0.0,965.0,197.4485489976167,150.72413287055392,0.0,903.0,187.52106304744896,112.17232684197128,0.0,950.5
rf_avg_veh_number_0.001_0.8999999999999999_0.7,206.29216318519556,154.11293655767517,0.0,937.0,200.63108089163046,159.18212170631514,0.0,1161.0,201.59764474975466,143.26395613445496,0.0,907.0,195.4125893733352,151.65208108624225,0.0,836.0,205.4025655404458,158.71324835271616,0.0,1028.0,186.71473198616772,101.7610354554046,0.0,763.5
rf_avg_veh_number_0.001_0.6_0.7999999999999999,195.20685546053554,173.92997824987452,0.0,1317.0,198.69395766157297,154.46477309803183,0.0,1090.0,205.2046824617973,163.66747390310897,0.0,1196.0,200.46789569606057,167.28064318813128,0.0,996.0,199.48492920229918,167.99083046675437,0.0,1234.0,184.66387878219513,110.81045926393031,0.0,1310.0
rf_avg_veh_number_0.001_0.7_0.7999999999999999,193.04331978129818,141.94169437010825,0.0,754.0,192.64965652600588,142.6514361848078,0.0,920.0,206.56371793074442,186.85028271706648,0.0,1765.0,198.02222066451702,152.29220625247723,0.0,1180.0,194.31389317257816,155.49105020467275,0.0,1040.0,182.83353496485037,103.32292240714034,0.0,1041.0
